日期	金风科技	吉祥航空	保利地产
20200507	-0.004847319	-0.015864955	-0.009496748
20200508	0.004847319	0.014815086	0.010756194
20200511	-0.003875974	0.003146306	-0.008849615
20200512	-0.00779731	-0.012645058	-0.000635122
20200513	0.005853675	-0.002123143	-0.003181676
20200514	-0.023623146	-0.021483103	-0.021908093
20200515	-0.020121403	-0.006535971	-0.005880448
20200518	0.016129382	-0.005479466	0.013021017
20200519	0.009950331	0.019587133	-0.007140569
20200520	-0.014962873	-0.011924261	-0.005225355
20200521	-0.010101096	-0.004371592	-0.014512128
20200522	-0.019477807	-0.019912162	-0.020134908
20200525	0.003100778	-0.012366656	0.03333642
20200526	0.005146692	0.012366656	0.003926707
20200527	-0.023897241	0.013318732	0.005211738
20200528	-0.010570923	-0.006637193	0.006476707
20200529	0.007411363	0.013230623	-0.075748091
20200601	0.018809332	0.025947402	0.030180617
20200602	0.00619197	0.002132197	0.027325926
20200603	-0.011381395	0.015848192	0.002626397
20200604	-0.001041125	-0.004201687	-0.01054723
20200605	0.014478019	0.033129324	-0.015359233
20200608	0.040246881	0.012145898	0.003359089
20200609	-0.008915364	-0.009095565	0.002679171
20200610	0.0039722	-0.006109999	-0.021637085
20200611	0.000990589	-0.031122844	-0.019324273
20200612	0.026381598	-0.012725516	0.003478264
20200615	0	-0.028140385	-0.004175371
